2025-04-17 00:10:19,036 | INFO | Dados do usuário salvos. ID: 12
2025-04-17 00:10:19,038 | INFO | Analisando áudio: uploads\trecho_selecionado.wav
2025-04-17 00:10:20,042 | INFO | Análise concluída com sucesso.
2025-04-17 00:10:20,408 | INFO | Resultado da análise retornado.
2025-04-17 00:21:29,259 | INFO | Recebido arquivo: trecho_selecionado.wav
2025-04-17 00:21:29,451 | INFO | Dados do usuário salvos. ID: 13
2025-04-17 00:21:29,452 | INFO | Analisando áudio: uploads\trecho_selecionado.wav
2025-04-17 00:21:30,103 | INFO | Análise concluída com sucesso.
2025-04-17 00:21:30,318 | INFO | Resultado da análise retornado.
2025-04-17 00:25:14,760 | INFO | Recebido arquivo: trecho_selecionado.wav
2025-04-17 00:25:15,005 | INFO | Dados do usuário salvos. ID: 14
2025-04-17 00:25:15,005 | INFO | Analisando áudio: uploads\trecho_selecionado.wav
2025-04-17 00:25:15,562 | INFO | Análise concluída com sucesso.
2025-04-17 00:25:15,959 | INFO | Resultado da análise retornado.
2025-04-17 00:26:51,481 | INFO | Recebido arquivo: trecho.wav
2025-04-17 00:26:51,702 | INFO | Dados do usuário salvos. ID: 15
2025-04-17 00:26:51,702 | INFO | Analisando áudio: uploads\trecho.wav
2025-04-17 00:26:52,210 | INFO | Análise concluída com sucesso.
2025-04-17 00:26:52,447 | INFO | Resultado da análise retornado.
2025-04-17 00:32:21,726 | INFO | Recebido arquivo: trecho.wav
2025-04-17 00:32:21,926 | INFO | Dados do usuário salvos. ID: 16
2025-04-17 00:32:21,927 | INFO | Analisando áudio: uploads\trecho.wav
2025-04-17 00:32:22,380 | INFO | Análise concluída com sucesso.
2025-04-17 00:32:22,653 | INFO | Resultado da análise retornado.
2025-04-17 00:32:22,654 | ERROR | Erro ao processar áudio: Out of range float values are not JSON compliant
2025-04-17 00:34:01,026 | INFO | Recebido arquivo: trecho.wav
2025-04-17 00:34:01,242 | INFO | Dados do usuário salvos. ID: 17
2025-04-17 00:34:01,243 | INFO | Analisando áudio: uploads\trecho.wav
2025-04-17 00:34:01,581 | INFO | Análise concluída com sucesso.
2025-04-17 00:34:02,338 | INFO | Resultado da análise retornado.
2025-04-17 00:34:02,338 | ERROR | Erro ao processar áudio: Out of range float values are not JSON compliant
2025-04-17 00:34:16,539 | INFO | Recebido arquivo: trecho.wav
2025-04-17 00:34:17,706 | INFO | Dados do usuário salvos. ID: 18
2025-04-17 00:34:17,707 | INFO | Analisando áudio: uploads\trecho.wav
2025-04-17 00:34:18,133 | INFO | Análise concluída com sucesso.
2025-04-17 00:34:18,363 | INFO | Resultado da análise retornado.
2025-04-17 00:37:13,629 | INFO | Recebido arquivo: trecho.wav
2025-04-17 00:37:14,511 | INFO | Dados do usuário salvos. ID: 19
2025-04-17 00:37:14,512 | INFO | Analisando áudio: uploads\trecho.wav
2025-04-17 00:37:14,960 | INFO | Análise concluída com sucesso.
2025-04-17 00:37:15,456 | INFO | Resultado da análise retornado.
2025-04-17 00:37:15,456 | ERROR | Erro ao processar áudio: Out of range float values are not JSON compliant
2025-04-17 00:37:29,780 | INFO | Recebido arquivo: trecho_selecionado.wav
2025-04-17 00:37:29,987 | INFO | Dados do usuário salvos. ID: 20
2025-04-17 00:37:29,988 | INFO | Analisando áudio: uploads\trecho_selecionado.wav
2025-04-17 00:37:30,542 | INFO | Análise concluída com sucesso.
2025-04-17 00:37:30,892 | INFO | Resultado da análise retornado.
2025-04-17 00:39:38,413 | INFO | Recebido arquivo: trecho_selecionado.wav
2025-04-17 00:39:39,329 | INFO | Dados do usuário salvos. ID: 21
2025-04-17 00:39:39,330 | INFO | Analisando áudio: uploads\trecho_selecionado.wav
2025-04-17 00:39:39,965 | INFO | Análise concluída com sucesso.
2025-04-17 00:39:40,274 | INFO | Resultado da análise retornado.
2025-04-17 00:39:57,474 | INFO | Recebido arquivo: trecho.wav
2025-04-17 00:39:57,707 | INFO | Dados do usuário salvos. ID: 22
2025-04-17 00:39:57,708 | INFO | Analisando áudio: uploads\trecho.wav
2025-04-17 00:39:58,394 | INFO | Análise concluída com sucesso.
2025-04-17 00:39:58,650 | INFO | Resultado da análise retornado.
2025-04-17 00:40:31,861 | INFO | Recebido arquivo: trecho.wav
2025-04-17 00:40:32,056 | INFO | Dados do usuário salvos. ID: 23
2025-04-17 00:40:32,057 | INFO | Analisando áudio: uploads\trecho.wav
2025-04-17 00:40:32,659 | INFO | Análise concluída com sucesso.
2025-04-17 00:40:32,963 | INFO | Resultado da análise retornado.
2025-04-17 00:40:32,963 | ERROR | Erro ao processar áudio: Out of range float values are not JSON compliant
2025-04-17 00:41:23,023 | INFO | Recebido arquivo: trecho.wav
2025-04-17 00:41:23,221 | INFO | Dados do usuário salvos. ID: 24
2025-04-17 00:41:23,222 | INFO | Analisando áudio: uploads\trecho.wav
2025-04-17 00:41:23,864 | INFO | Análise concluída com sucesso.
2025-04-17 00:41:24,117 | INFO | Resultado da análise retornado.
2025-04-17 00:44:18,765 | INFO | Recebido arquivo: trecho.wav
2025-04-17 00:44:18,921 | INFO | Dados do usuário salvos. ID: 25
2025-04-17 00:44:18,922 | INFO | Analisando áudio: uploads\trecho.wav
2025-04-17 00:44:19,682 | INFO | Análise concluída com sucesso.
2025-04-17 00:44:19,978 | INFO | Resultado da análise retornado.
2025-04-17 06:00:52,446 | INFO | Tabela 'ANALISE' verificada/criada.
2025-04-17 06:31:11,632 | INFO | Recebido arquivo: trecho_selecionado.wav
2025-04-17 06:31:11,837 | INFO | Dados do usuário salvos. ID: 26
2025-04-17 06:31:11,849 | INFO | Analisando áudio: uploads\trecho_selecionado.wav
2025-04-17 06:31:19,691 | INFO | Análise concluída com sucesso.
2025-04-17 06:31:20,534 | INFO | Resultado da análise retornado.
2025-04-17 06:31:20,540 | INFO | Recebido arquivo: trecho_selecionado.wav
2025-04-17 06:31:20,812 | INFO | Dados do usuário salvos. ID: 27
2025-04-17 06:31:20,813 | INFO | Analisando áudio: uploads\trecho_selecionado.wav
2025-04-17 06:31:22,140 | INFO | Análise concluída com sucesso.
2025-04-17 06:31:22,451 | INFO | Resultado da análise retornado.
2025-04-24 05:51:29,600 | INFO | Tabela 'ANALISE' verificada/criada.
2025-04-29 22:04:03,529 | INFO | Tabela 'ANALISE' verificada/criada.
2025-04-30 00:34:03,038 | INFO | Tabela 'ANALISE' verificada/criada.
2025-04-30 00:35:22,357 | INFO | Tabela 'ANALISE' verificada/criada.
2025-04-30 00:36:56,903 | INFO | Tabela 'ANALISE' verificada/criada.
2025-04-30 00:38:32,567 | INFO | Tabela 'ANALISE' verificada/criada.
2025-04-30 00:52:07,484 | INFO | Tabela 'ANALISE' verificada/criada.
2025-04-30 00:57:03,554 | INFO | Recebido arquivo: trecho_selecionado.wav
2025-04-30 00:57:03,554 | WARNING | Falha ao salvar usuário: table USUARIO has no column named gender
2025-04-30 00:57:03,555 | INFO | Analisando áudio: uploads\trecho_selecionado.wav
2025-04-30 00:57:14,989 | INFO | Análise concluída com sucesso.
2025-04-30 00:57:15,480 | INFO | Resultado da análise retornado.
2025-04-30 01:01:36,976 | INFO | Recebido arquivo: trecho_selecionado.wav
2025-04-30 01:01:37,515 | INFO | Dados do usuário salvos. ID: 1
2025-04-30 01:01:37,518 | INFO | Analisando áudio: uploads\trecho_selecionado.wav
2025-04-30 01:01:38,824 | INFO | Análise concluída com sucesso.
2025-04-30 01:01:38,826 | ERROR | Erro ao processar áudio: no such table: ANALISE
2025-04-30 01:03:36,371 | INFO | Recebido arquivo: trecho_selecionado.wav
2025-04-30 01:03:36,560 | INFO | Dados do usuário salvos. ID: 2
2025-04-30 01:03:36,563 | INFO | Analisando áudio: uploads\trecho_selecionado.wav
2025-04-30 01:03:37,868 | INFO | Análise concluída com sucesso.
2025-04-30 01:03:37,871 | ERROR | Erro ao processar áudio: no such table: ANALISE
2025-04-30 01:04:05,863 | INFO | Recebido arquivo: trecho_selecionado.wav
2025-04-30 01:04:06,340 | INFO | Dados do usuário salvos. ID: 3
2025-04-30 01:04:06,341 | INFO | Analisando áudio: uploads\trecho_selecionado.wav
2025-04-30 01:04:07,559 | INFO | Análise concluída com sucesso.
2025-04-30 01:04:07,562 | ERROR | Erro ao processar áudio: no such table: ANALISE
2025-04-30 01:19:41,243 | INFO | aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa Tabela 'ANALISE' vai ser verificada/criada.
2025-04-30 01:19:41,415 | INFO | Tabela 'ANALISE' verificada/criada.
2025-04-30 01:20:26,899 | INFO | aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa Tabela 'ANALISE' vai ser verificada/criada.
2025-04-30 01:20:26,899 | INFO | Tabela 'ANALISE' verificada/criada.
2025-04-30 01:21:10,179 | INFO | Tabela 'ANALISE' verificada/criada.
2025-04-30 01:21:10,179 | INFO | Tabela 'ANALISE' verificada/criada.
2025-04-30 01:22:23,329 | INFO | Recebido arquivo: trecho_selecionado.wav
2025-04-30 01:22:23,632 | INFO | Dados do usuário salvos. ID: 1
2025-04-30 01:22:23,633 | INFO | Analisando áudio: uploads\trecho_selecionado.wav
2025-04-30 01:22:25,193 | INFO | Análise concluída com sucesso.
2025-04-30 01:22:25,567 | INFO | Resultado da análise retornado.
2025-04-30 01:36:55,963 | INFO | Recebido arquivo: trecho.wav
2025-04-30 01:36:56,147 | INFO | Dados do usuário salvos. ID: 2
2025-04-30 01:36:56,148 | INFO | Analisando áudio: uploads\trecho.wav
2025-04-30 01:36:56,566 | INFO | Análise concluída com sucesso.
